modelo,accuracy,precision,recall,f1_macro,tempo_treino_s,tempo_predicao_ms,memoria_mb
Decision Tree (sem PCA),0.6412,0.3387,0.4615,0.3907,5.5428,0.7811,187.49
Decision Tree (PCA),0.4809,0.532,0.5353,0.4785,0.1813,0.5286,196.17
KNN (sem PCA),0.4275,0.4377,0.4268,0.4109,0.237,2.3768,201.54
KNN (PCA),0.4427,0.4588,0.4518,0.4294,0.2277,2.7137,208.54
Voting Ensemble (sem PCA),0.5038,0.4517,0.4467,0.447,0.2984,21.7695,213.65
Voting Ensemble (PCA),0.4275,0.4779,0.4758,0.4253,0.2763,20.9308,200.87
Random Forest (sem PCA),0.5344,0.527,0.5317,0.5121,17.0251,17.704,204.23
Random Forest (PCA),0.4504,0.5058,0.5063,0.4488,17.3382,9.4337,201.93
