modelo,accuracy,precision,recall,f1_macro,tempo_treino_s,tempo_predicao_ms,memoria_mb
Decision Tree (sem PCA),0.5878,0.5719,0.5842,0.5633,4.5943,0.7432,188.15
Decision Tree (PCA),0.5344,0.5152,0.5177,0.5048,0.5015,0.7851,195.2
KNN (sem PCA),0.5725,0.5097,0.5102,0.5094,0.2485,2.8355,202.46
KNN (PCA),0.5878,0.6551,0.6683,0.5866,0.2101,1.7915,207.07
Voting Ensemble (sem PCA),0.5191,0.5618,0.5698,0.515,0.2634,20.22,212.43
Voting Ensemble (PCA),0.5802,0.5728,0.5857,0.5601,0.2387,19.9203,202.15
Random Forest (sem PCA),0.6107,0.5869,0.6007,0.5826,15.9552,8.3032,204.45
Random Forest (PCA),0.5954,0.6193,0.6387,0.5876,15.4916,9.4268,203.74
